keys,zh_CN,en
WESTRING_MENU_EXPORTMINIMAP,导出微缩地图(&M)…,Export Minimap(&M)…
WESTRING_MENU_EXPORTSTRINGS,导出字符串(&T)…,Export Strings(&T)…
WESTRING_MENU_IMPORTSTRINGS,导入字符串(&I)…,Import Strings(&I)…
WESTRING_MENU_EDITPREFS,参数(&P)…,Preferences(&P)…
WESTRING_MENU_CONFIGCTRLS,配置控件(&G)…,Configure Controls(&G)…
WESTRING_MENU_TESTMAP,测试地图(&T),Test Map(&T)
WESTRING_MENU_EXIT,退出(&X),Exit(&X)
WESTRING_MENU_EDIT,编辑(&E),Edit(&E)
WESTRING_MENU_UNDO,撤消(&U),Undo(&U)
WESTRING_MENU_REDO,重做(&R),Redo(&R)
WESTRING_MENU_CUT,剪切(&T),Cut(&T)
WESTRING_MENU_COPY,复制(&C),Copy(&C)
WESTRING_MENU_PASTE,粘帖(&P),Paste(&P)
WESTRING_MENU_CLEAR,清除(&E),Clear(&E)
WESTRING_MENU_SELECTALL,全选(&A),Select All(&A)
WESTRING_MENU_EDITPROPS,编辑属性…,Edit Properties…
WESTRING_MENU_VIEW,察看(&V),View(&V)
WESTRING_MENU_TEXTURED,纹理,Textured
WESTRING_MENU_WIREFRAME,线框,Wireframe
WESTRING_MENU_TERRAIN,地形(&T),Terrain(&T)
WESTRING_MENU_DOODADS,地形装饰物(&D),Doodads(&D)
WESTRING_MENU_UNITS,单位(&U),Units(&U)
WESTRING_MENU_WATER,水面,Water
WESTRING_MENU_BLIGHT,荒芜之地,Blight
WESTRING_MENU_PATHING,路径-地面(&P),Pathing - Ground(&P)
WESTRING_MENU_SHADOWS,阴影,Shadows
WESTRING_MENU_LIGHTING,光照,Lighting
WESTRING_MENU_WEATHER,天气,Weather
WESTRING_MENU_GRID,栅格(&G),Grid(&G)
WESTRING_MENU_GRID_NONE,没有(&N),None(&N)
WESTRING_MENU_GRID_LARGE,大的(&L),Large(&L)
WESTRING_MENU_GRID_MEDIUM,适中的(&M),Medium(&M)
WESTRING_MENU_GRID_SMALL,小的(&S),Small(&S)
EDITOR_STATUS_GRID,栅格：%s,Grid: %s
WESTRING_MENU_CAMERABOUNDS,镜头边界,Camera Bounds
WESTRING_MENU_REGIONS,设定区域(&R),Regions(&R)
WESTRING_MENU_CAMERAS,镜头(&C),Cameras(&C)
WESTRING_MENU_SKY,天空,Sky
WESTRING_MENU_FOGEFFECTS,迷雾效果,Fog Effects
WESTRING_MENU_LETTERBOX,信箱模式,Letterbox
WESTRING_MENU_GAMECAMERASNAP,游戏镜头,Game Camera
WESTRING_MENU_LAYER,层面(&L),Layer(&L)
WESTRING_MENU_SCENARIO,情节(&S),Scenario(&S)
WESTRING_MENU_MAPDESCRIPTION,地图描述…,Map Description…
WESTRING_MENU_MAPOPTIONS,地图选项…,Map Options…
WESTRING_MENU_MAPSIZE,地图尺寸…,Map Size…
WESTRING_MENU_LOADSCREEN,载入画面…,Loading Screen…
WESTRING_MENU_PROLOGUE,开场…,Prologue…
WESTRING_MENU_PLAYERPROPS,玩家属性…,Player Properties…
WESTRING_MENU_FORCEPROPS,势力属性…,Force Properties…
WESTRING_MENU_ALLYPRIPROPS,联盟优先权…,Ally Priorities…
WESTRING_MENU_TECHPROPS,科技树…,Tech Tree…
WESTRING_MENU_ABILITIES,技能…,Abilities…
WESTRING_MENU_UPGRADEPROPS,升级…,Upgrades…
WESTRING_MENU_TOOLS,工具(&T),Tools(&T)
WESTRING_MENU_SELBRUSH,选择笔刷,Selection Brush
WESTRING_MENU_HEIGHTBRUSH,高度笔刷,Increase/Decrease
WESTRING_MENU_LEVELBRUSH,平台笔刷,Plateau
WESTRING_MENU_NOISEBRUSH,噪音笔刷,Noise
WESTRING_MENU_SMOOTHBRUSH,平滑笔刷,Smooth
WESTRING_MENU_BRUSHSIZE,笔刷大小,Brush Size
WESTRING_MENU_BRUSHSHAPE,笔刷形状,Brush Shape
WESTRING_MENU_ADVANCED,高级(&A),Advanced(&A)
WESTRING_MENU_MODTILESET,修改地形集…,Modify Tileset…
WESTRING_MENU_RANDOMGROUPS,随机组…,Random Groups…
WESTRING_MENU_ITEMTABLES,物品表…,Item Tables…
WESTRING_MENU_RESETHEIGHT,重置高度,Reset Height
WESTRING_MENU_ADJUSTCLIFFLEVELS,调整悬崖高度,Adjust Cliff Levels
WESTRING_MENU_REPLACETILES,替换地表…,Replace Tiles…
WESTRING_MENU_REPLACECLIFFTYPE,替换悬崖类型…,Replace Cliff Type…
WESTRING_MENU_REPLACEDOODADS,替换装饰物…,Replace Doodads…
WESTRING_MENU_REPLACEUNITS,替换单位…,Replace Units…
WESTRING_MENU_GAMECONSTANTS,游戏常数…,Gameplay Constants…
WESTRING_MENU_GAMEINTERFACE,游戏界面…,Game Interface…
WESTRING_MENU_VIEWENTIREMAP,察看整张地图,View Entire Map
WESTRING_MENU_MODULE,模块(&M),Module(&M)
WESTRING_MENU_MODULE_TERRAIN,地形编辑器(&T),Terrain Editor(&T)
WESTRING_MENU_MODULE_SCRIPTS,开关编辑器(&R),Trigger Editor(&R)
WESTRING_MENU_MODULE_SOUND,声音编辑器(&N),Sound Editor(&N)
WESTRING_MENU_OBJECTEDITOR,物体编辑器(&O),Object Editor(&O)
WESTRING_MENU_MODULE_CAMPAIGN,战役编辑器(&C),Campaign Editor(&C)
WESTRING_MENU_OBJECTMANAGER,物体管理器(&O),Object Manager(&O)
WESTRING_MENU_IMPORTMANAGER,输入管理器(&I),Import Manager(&I)
WESTRING_MENU_MODULE_AI,AI编辑器(&A),AI Editor(&A)
WESTRING_MENU_WINDOW,窗口(&W),Window(&W)
WESTRING_MENU_NEWPALETTE,新面板,New Palette
WESTRING_MENU_SHOWPALETTES,显示面板,Show Palettes
WESTRING_TOOL_PALETTE,工具面板,Tool Palette
WESTRING_PALETTE_TERRAIN,地形面板,Terrain Palette
WESTRING_PALETTE_UNITS,单位面板,Unit Palette
WESTRING_PALETTE_DOODADS,地形装饰物面板,Doodad Palette
WESTRING_PALETTE_REGIONS,矩形区域面板,Region Palette
WESTRING_PALETTE_CAMERAS,镜头面板,Camera Palette
WESTRING_MENU_TOOLBAR,工具条(&T),Toolbar(&T)
WESTRING_MENU_MINIMAP,微缩地图(&M),Minimap(&M)
WESTRING_MENU_PREVIEWER,预览器,Previewer
WESTRING_MENU_TREEVIEW,笔刷列表,Brush List
WESTRING_MENU_HELP,帮助(&H),Help(&H)
WESTRING_MENU_W3HELP,魔兽争霸III帮助,Warcraft III Help
WESTRING_MENU_LICENSE,许可协议,License Agreement
WESTRING_MENU_ABOUT,关于魔兽争霸III地图编辑器(&A)...,About Warcraft III World Editor(&A)...
WESTRING_APPNAME,魔兽争霸III地图编辑器,Warcraft III World Editor
WESTRING_OK,确定,OK
WESTRING_CANCEL,取消,Cancel
WESTRING_NONE,没有,None
WESTRING_NEWMAP_SIZE,地图大小,Map Size
WESTRING_NEWMAP_SIZEX,宽度,Width
WESTRING_NEWMAP_SIZEY,高度,Height
WESTRING_NEWMAP_PLAYSIZE,可用区域,Playable Area
WESTRING_NEWMAP_PLAYSIZEX,宽度,Width
WESTRING_NEWMAP_PLAYSIZEY,高度,Height
WESTRING_NEWMAP_SIZEDESC,尺寸说明,Size Description
WESTRING_NEWMAP_DEFTILE,初始地形,Initial Ground
WESTRING_NEWMAP_DEFCLIFF,初始悬崖高度,Initial Cliff Level
WESTRING_NEWMAP_DEFWATER,初始水位,Initial Water Level
WESTRING_RANDOMHEIGHT,随机地形高度,Random Height
WESTRING_MAPSIZE_TINY,极小,Tiny
WESTRING_MAPSIZE_SMALL,小的,Small
WESTRING_MAPSIZE_MEDIUM,适中,Medium
WESTRING_MAPSIZE_LARGE,大的,Large
WESTRING_MAPSIZE_HUGE,巨大的,Huge
WESTRING_MAPSIZE_EPIC,壮丽的,Epic
WESTRING_LOCALE_LORDAERON_SUMMER,洛丹伦 (夏),Lordaeron Summer
WESTRING_LOCALE_LORDAERON_FALL,洛丹伦(秋),Lordaeron Fall
WESTRING_LOCALE_LORDAERON_WINTER,洛丹伦(冬),Lordaeron Winter
WESTRING_LOCALE_ICECROWN,冰封王座,Icecrown
WESTRING_TILE_DIRT,泥土,Dirt
WESTRING_TILE_GRASS,草地,Grass
EDITOR_MENU_RAMP_DEBUG,斜坡标记(&R),Ramp Marks(&R)
EDITOR_UNIT_GROUP_STANDARD,标准单位,Standard Units
EDITOR_UNIT_GROUP_CAMPAIGN,战役单位,Campaign Units
EDITOR_UNIT_GROUP_SPECIAL,特殊单位,Special Units
EDITOR_UNIT_GROUP_ALL,全部,All
EDITOR_UNIT_SET_MELEE,对战,Melee
EDITOR_UNIT_SET_CAMPAIGN,战役,Campaign
EDITOR_UNIT_CURRENT_FMT,单位: %s,Unit: %s
EDITOR_UNIT_LIST_EMPTY,(无单位), (No units)
EDITOR_UNIT_ANY_LEVEL,任何等级,Any Level
EDITOR_UNIT_LEVEL_FMT,等级 %d,Level %d
EDITOR_UNIT_RACE_CREEPS,中立敌对,Neutral Hostile
EDITOR_UNIT_RACE_CRITTERS,中立被动,Neutral Passive
EDITOR_UNIT_RACE_COMMONER,平民,Commoner
EDITOR_UNIT_RACE_DEMON,恶魔,Demon
EDITOR_UNIT_OWNER_NEUTRAL_PASSIVE,中立被动,Neutral Passive
WESTRING_STARTLOCATION,开始点,Start Location
EDITOR_UNIT_OWNER_NEUTRAL_HOSTILE,中立敌对,Neutral Hostile
EDITOR_UNIT_OWNER_PLAYER_FMT,玩家 %d（%s）,Player %d (%s)
EDITOR_STATUS_UNIT_SELECTED,已选单位：%s [%s] 玩家 %d,Selected unit: %s [%s] player %d
EDITOR_STATUS_UNIT_BRUSH,当前：单位笔刷（半格吸附；Esc 取消预览；R/[ ] 旋转；Delete 删除）,Current: Unit brush (half-tile snap; Esc clears preview; R/[ ] rotate; Delete)
EDITOR_STATUS_UNIT_PLACED,已放置 %d 个：%s,Placed %d: %s
EDITOR_STATUS_UNIT_PICKED,已选中地图单位 #%d,Selected map unit #%d
EDITOR_STATUS_UNIT_DELETED,已删除 %d 个单位,Deleted %d unit(s)
EDITOR_HUD_BRUSH_UNIT,%s [%s] P%d,%s [%s] P%d
EDITOR_HUD_PROPS_UNIT,玩家 %d,Player %d
EDITOR_DIALOG_OK,确定,OK
EDITOR_DIALOG_CANCEL,取消,Cancel
EDITOR_UNIT_PROPS_TITLE,单位属性,Unit Properties
EDITOR_UNIT_PROPS_TAB_GENERAL,普通,General
EDITOR_UNIT_PROPS_TAB_SKILLS,技能,Abilities
EDITOR_UNIT_PROPS_TAB_DROPS,掉落物品,Item Drops
EDITOR_UNIT_PROPS_LEVEL,等级: %d,Level: %d
EDITOR_UNIT_PROPS_OWNER,玩家,Player
EDITOR_UNIT_PROPS_FACING,面向角度,Facing Angle
EDITOR_UNIT_PROPS_HP_PCT,生命值%%,Hit Points %%
EDITOR_UNIT_PROPS_MP,魔法值,Mana Points
EDITOR_UNIT_PROPS_ACQ,单位警戒范围,Unit Acquisition Range
EDITOR_UNIT_PROPS_ACQ_NORMAL,普通(N): (%d),Normal(N): (%d)
EDITOR_UNIT_PROPS_ACQ_CAMP,营地(C): (%d),Camp(C): (%d)
EDITOR_UNIT_PROPS_SKILLS_HINT,技能系统接入后可在此编辑激活状态。当前只读列出单位技能。,Ability editing comes after the skill system. Listed read-only for now.
EDITOR_UNIT_PROPS_DROPS_TITLE,死亡掉落物品,Items Dropped on Death
EDITOR_UNIT_PROPS_DROPS_NOTE,有掉落配置的单位在地图上会显示头顶白色提示环。编辑掉落表将在后续版本完善。,Units with drop sets show a white ring above their head. Full drop-table editing comes later.
EDITOR_UNIT_PROPS_DROPS_EMPTY,（未配置死亡掉落）, (No death drops)
EDITOR_UNIT_PROPS_DROPS_ROW,组 %d · %s · %d%%,Set %d · %s · %d%%
EDITOR_UNIT_OWNER_PLAYER_N,玩家 %d,Player %d
EDITOR_STATUS_PATHING_GROUND,路径-地面：%s,Pathing-Ground: %s
EDITOR_STATUS_LOADING_UNITS,正在加载单位…,Loading units…
EDITOR_STATUS_LOADING_UNITS_PROGRESS,后台加载单位… %d/%d,Loading units (bg)… %d/%d
EDITOR_STATUS_PATHING_GROUND_ON,路径-地面：开（%d 格）,Pathing-Ground: On (%d cells)
